Question,Image,A,B,C,D,E,Answer,Logic
hc_1,hc_1_q1.png,DH,SH,SQ,XH,XJ,SQ,"Top=style, Bot=arrow"
hc_2,hc_1_q2.png,AN,AV,GV,RK,RV,RV,"Top=height, Bot=slope"
hc_3,hc_1_q3.png,RA,RK,TA,TH,TS,TA,"Top=count, Bot=rotation"
hc_4,hc_1_q4.png,QL,QX,SL,SX,UL,SL,"Top=border, Bot=inner"
hc_5,hc_1_q5.png,DW,SF,SX,TF,TW,TF,"Top=dot, Bot=shade"
hc_6,hc_1_q6.png,FH,FM,SH,WL,WM,SH,"Top=style, Bot=arrow"
hc_7,hc_1_q7.png,KE,KL,ME,MG,ML,ML,"Top=height, Bot=slope"
hc_8,hc_1_q8.png,TL,TR,VL,VM,VR,TL,"Top=count, Bot=rotation"
hc_9,hc_1_q9.png,FA,FD,LC,LD,QD,LD,"Top=border, Bot=inner"
hc_10,hc_1_q10.png,PG,RG,RH,RU,XM,PG,"Top=dot, Bot=shade"
hc_11,hc_1_q11.png,RB,RF,VF,WF,WT,VF,"Top=style, Bot=arrow"
hc_12,hc_1_q12.png,LR,SJ,SM,TJ,TR,TJ,"Top=height, Bot=slope"
hc_13,hc_1_q13.png,CA,CY,CZ,KY,UA,CZ,"Top=count, Bot=rotation"
hc_14,hc_1_q14.png,PH,QH,QR,VH,VN,QH,"Top=border, Bot=inner"
hc_15,hc_1_q15.png,GT,GY,JD,JT,MS,GT,"Top=dot, Bot=shade"
hc_16,hc_1_q16.png,NB,NS,NT,UB,US,UB,"Top=style, Bot=arrow"
hc_17,hc_1_q17.png,BL,FC,FL,SC,SH,SC,"Top=height, Bot=slope"
hc_18,hc_1_q18.png,HQ,HV,RQ,RZ,UX,HV,"Top=count, Bot=rotation"
hc_19,hc_1_q19.png,EB,EX,GB,GL,WB,WB,"Top=border, Bot=inner"
hc_20,hc_1_q20.png,CS,LV,LW,NM,UV,LV,"Top=dot, Bot=shade"
