Question ID,Image File,Correct Answer
nv_seq_001,seq_1.png,B
nv_seq_002,seq_2.png,C
nv_seq_003,seq_3.png,C
nv_seq_004,seq_4.png,C
nv_seq_005,seq_5.png,A
nv_seq_006,seq_6.png,D
nv_seq_007,seq_7.png,A
nv_seq_008,seq_8.png,A
nv_seq_009,seq_9.png,B
nv_seq_010,seq_10.png,B
nv_seq_011,seq_11.png,B
nv_seq_012,seq_12.png,A
nv_seq_013,seq_13.png,E
nv_seq_014,seq_14.png,C
nv_seq_015,seq_15.png,A
nv_seq_016,seq_16.png,D
nv_seq_017,seq_17.png,E
nv_seq_018,seq_18.png,A
nv_seq_019,seq_19.png,D
nv_seq_020,seq_20.png,B
nv_seq_021,seq_21.png,B
nv_seq_022,seq_22.png,A
nv_seq_023,seq_23.png,B
nv_seq_024,seq_24.png,A
nv_seq_025,seq_25.png,B
nv_seq_026,seq_26.png,E
nv_seq_027,seq_27.png,A
nv_seq_028,seq_28.png,D
nv_seq_029,seq_29.png,C
nv_seq_030,seq_30.png,C
nv_seq_031,seq_31.png,E
nv_seq_032,seq_32.png,C
nv_seq_033,seq_33.png,A
nv_seq_034,seq_34.png,C
nv_seq_035,seq_35.png,E
nv_seq_036,seq_36.png,C
nv_seq_037,seq_37.png,C
nv_seq_038,seq_38.png,E
nv_seq_039,seq_39.png,A
nv_seq_040,seq_40.png,B
nv_seq_041,seq_41.png,A
nv_seq_042,seq_42.png,B
nv_seq_043,seq_43.png,B
nv_seq_044,seq_44.png,E
nv_seq_045,seq_45.png,E
nv_seq_046,seq_46.png,C
nv_seq_047,seq_47.png,B
nv_seq_048,seq_48.png,B
nv_seq_049,seq_49.png,C
nv_seq_050,seq_50.png,D
nv_seq_051,seq_1 (1).png,D
nv_seq_052,seq_2 (1).png,A
nv_seq_053,seq_3 (1).png,E
nv_seq_054,seq_4 (1).png,E
nv_seq_055,seq_5 (1).png,A
nv_seq_056,seq_6 (1).png,D
nv_seq_057,seq_7 (1).png,C
nv_seq_058,seq_8 (1).png,B
nv_seq_059,seq_9 (1).png,C
nv_seq_060,seq_10 (1).png,D
nv_seq_061,seq_11 (1).png,C
nv_seq_062,seq_12 (1).png,D
nv_seq_063,seq_13 (1).png,D
nv_seq_064,seq_14 (1).png,A
nv_seq_065,seq_15 (1).png,C
nv_seq_066,seq_16 (1).png,E
nv_seq_067,seq_17 (1).png,D
nv_seq_068,seq_18 (1).png,A
nv_seq_069,seq_19 (1).png,E
nv_seq_070,seq_20 (1).png,B
nv_seq_071,seq_21 (1).png,B
nv_seq_072,seq_22 (1).png,A
nv_seq_073,seq_23 (1).png,A
nv_seq_074,seq_24 (1).png,E
nv_seq_075,seq_25 (1).png,A
nv_seq_076,seq_26 (1).png,E
nv_seq_077,seq_27 (1).png,A
nv_seq_078,seq_28 (1).png,C
nv_seq_079,seq_29 (1).png,E
nv_seq_080,seq_30 (1).png,E
nv_seq_081,seq_31 (1).png,D
nv_seq_082,seq_32 (1).png,E
nv_seq_083,seq_33 (1).png,D
nv_seq_084,seq_34 (1).png,B
nv_seq_085,seq_35 (1).png,C
nv_seq_086,seq_36 (1).png,C
nv_seq_087,seq_37 (1).png,C
nv_seq_088,seq_38 (1).png,B
nv_seq_089,seq_39 (1).png,E
nv_seq_090,seq_40 (1).png,C
nv_seq_091,seq_41 (1).png,B
nv_seq_092,seq_42 (1).png,E
nv_seq_093,seq_43 (1).png,A
nv_seq_094,seq_44 (1).png,B
nv_seq_095,seq_45 (1).png,E
nv_seq_096,seq_46 (1).png,C
nv_seq_097,seq_47 (1).png,A
nv_seq_098,seq_48 (1).png,A
